DISTRITO,POP. TOTAL 2022,POP. URB. 2022,CIDADE,DS_ZONA_SP,ENDERECO,QT_HOMENS_<=19,QT_HOMENS_20_34,QT_HOMENS_34_50,QT_HOMENS_50_64,QT_HOMENS_65+,QT_MULHERES_<=19,QT_MULHERES_20_34,QT_MULHERES_34_50,QT_MULHERES_50_64,QT_MULHERES_65+,TOTAL_HOMENS,TOTAL_MULHERES,TOTAL_GERAL,LEITOS,PRESSAO_BAIRRO,FL_PERIFERIA,IDADE MÉDIA AO MORRER_x,PROPORÇÃO ADOLESCENTE GRÁVIDAS(%),TEMPO MÉDIO DESLOCAMENTO NO TRANSPORTE IDA AO TRABALHO (MIN),TEMPO MÉDIO ATÉ AGENDAMENTO DE CONSULTAS (DIAS),IDADE MÉDIA AO MORRER_y,DOMICÍLIOS EM FAVELAS (%),POPULAÇÃO PRETA E PARDA (%)_x,POPULAÇÃO PRETA E PARDA (%)_y
SANTO AMARO,85349,85349,São Paulo,Zona Sul,[NaN],27265,8072,4417,1589,185,27203,8826,5168,2245,375,41530,43818,85349,132.0,646.5833333333334,0,78.2,1.5,29.0,26.0,78.2,0.2,10.3,10.3
VILA MARIANA,127286,127286,São Paulo,Zona Sul,[NaN],40662,12038,6587,2371,276,40569,13163,7707,3348,559,61936,65349,127286,204.0,623.9509803921569,0,78.3,1.7,31.0,14.0,78.3,0.8,8.7,8.7
VILA MARIANA,127286,127286,São Paulo,Zona Sul,[NaN],40662,12038,6587,2371,276,40569,13163,7707,3348,559,61936,65349,127286,233.0,546.2918454935623,0,78.3,1.7,31.0,14.0,78.3,0.8,8.7,8.7
CAMPO GRANDE,115925,115925,São Paulo,Zona Sul,[NaN],37032,10964,5999,2159,252,36948,11988,7019,3049,509,56408,59516,115925,213.0,544.2488262910798,0,71.6,4.5,34.0,39.0,71.6,,22.3,22.3
VILA MARIA,108543,108543,São Paulo,Zona Norte,[NaN],34674,10266,5617,2021,236,34595,11225,6572,2855,477,52816,55726,108543,201.0,540.0149253731344,0,66.2,9.3,38.0,16.0,67.4,13.0,34.4,34.4
VILA PRUDENTE,105690,105690,São Paulo,Zona Leste,"[""CENTENARIO DE V PRUDENTE,PCA,108"", ""SAO JANUARIO,DE,CDE,PCA,91"", ""ZELINA,AV,322"", ""SANTA HELENA,PCA,56"", ""FRANCISCO FALCONI,R,100"", ""PCA CENTENARIO DE VILA PRUDENTE, 108"", ""CHAMANTA,R,1351"", ""FRANCISCO FALCONI,R,1501"", ""PARAMU,R,398""]",33763,9996,5469,1968,229,33686,10930,6400,2780,464,51427,54262,105690,202.0,523.2178217821782,0,71.9,5.3,36.0,21.0,71.9,,19.0,19.0
IPIRANGA,116271,116271,São Paulo,Zona Sul,[NaN],37143,10996,6017,2165,252,37058,12024,7040,3058,511,56576,59694,116271,235.0,494.77021276595747,0,73.5,5.4,32.0,31.0,73.5,,22.0,22.0
SANTANA,115689,115689,São Paulo,Zona Norte,[NaN],36957,10941,5987,2155,251,36873,11964,7005,3043,508,56293,59395,115689,251.0,460.9123505976096,0,74.8,2.3,33.0,37.0,74.8,0.2,14.5,14.5
GUAIANASES,109316,109264,São Paulo,Zona Leste,"[""MACABU,R,35"", ""UTARO KANAI,R,286"", ""EVALDO CALABREZ, R,205"", ""SERRA DO MAR,R,56"", ""FRANCISCO PINHEIRO,PROF,R,139"", ""CENTRALINA,R,168"", ""OTELO AUGUSTO REIBEIRO, R,899"", ""FELICIANO DE MENDONCA,R,496"", ""JORGE MARACCINI PONFILIO,R,S/N"", ""ALDEIA MARIA,R,258"", ""HIPOLITO DE CAMARGO,R,180"", ""FRANCISCO PINHEIRO, R., 223"", ""CARLOS RUHL,CTE,R,189""]",34921,10339,5657,2036,237,34842,11305,6619,2875,480,53192,56123,109316,263.0,415.65019011406844,0,61.2,11.0,60.0,17.0,61.2,,51.5,51.5
ERMELINO MATARAZZO,112333,112333,São Paulo,Zona Leste,"[""JOSE GOES NOGUEIRA,R,70"", ""RODRIGO DE BRUM,AL,1989"", ""OLAVO EGIDIO SOUZA ARANHA,AV,630"", ""BOTURUSSU,AV,168"", ""JO+O ANTONIO ANDRADE,R, 804"", ""RODRIGO DE BRUNN,AL,36"", ""RODRIGO DE BRUN,AL,1989"", ""MIGUEL RACHID,596"", ""OVIDIO LOPES,253"", ""ANTONIO DE FREITAS TOLEDO, R., 170"", ""PAULO BIFANO ALVES,R,764"", ""LUCAS GONCALVES,R, 13"", ""LAJEDO,R, 123"", ""CACULE,R,79""]",35885,10624,5813,2092,244,35803,11617,6802,2955,494,54660,57672,112333,280.0,401.1892857142857,0,65.1,8.6,51.0,17.0,65.1,8.6,43.0,43.0
