codibge;ano;sexo;Idade;obito
3502309;2024;Homens;90 e mais;3
3502309;2024;Homens;Idade Ignorada;1
3502408;2024;Homens;00 a 04;1
3502408;2024;Homens;05 a 09;0
3502408;2024;Homens;10 a 14;0
3502408;2024;Homens;15 a 19;1
3502408;2024;Homens;20 a 24;0
3502408;2024;Homens;25 a 29;0
3502408;2024;Homens;30 a 34;0
3502408;2024;Homens;35 a 39;0
3502408;2024;Homens;40 a 44;1
3502408;2024;Homens;45 a 49;1
3502408;2024;Homens;50 a 54;1
3502408;2024;Homens;55 a 59;4
3502408;2024;Homens;60 a 64;1
3502408;2024;Homens;65 a 69;2
3502408;2024;Homens;70 a 74;3
3502408;2024;Homens;75 a 79;2
3502408;2024;Homens;80 a 84;3
3502408;2024;Homens;85 a 89;1
3502408;2024;Homens;90 e mais;1
3502408;2024;Homens;Idade Ignorada;0
3502507;2024;Homens;00 a 04;5
3502507;2024;Homens;05 a 09;0
3502507;2024;Homens;10 a 14;0
3502507;2024;Homens;15 a 19;3
3502507;2024;Homens;20 a 24;11
3502507;2024;Homens;25 a 29;3
3502507;2024;Homens;30 a 34;4
3502507;2024;Homens;35 a 39;8
3502507;2024;Homens;40 a 44;3
3502507;2024;Homens;45 a 49;9
3502507;2024;Homens;50 a 54;8
3502507;2024;Homens;55 a 59;10
3502507;2024;Homens;60 a 64;18
3502507;2024;Homens;65 a 69;21
3502507;2024;Homens;70 a 74;16
3502507;2024;Homens;75 a 79;16
3502507;2024;Homens;80 a 84;16
3502507;2024;Homens;85 a 89;7
3502507;2024;Homens;90 e mais;11
3502507;2024;Homens;Idade Ignorada;0
3502606;2024;Homens;00 a 04;0
3502606;2024;Homens;05 a 09;0
3502606;2024;Homens;10 a 14;0
3502606;2024;Homens;15 a 19;0
3502606;2024;Homens;20 a 24;0
3502606;2024;Homens;25 a 29;0
3502606;2024;Homens;30 a 34;0
3502606;2024;Homens;35 a 39;1
3502606;2024;Homens;40 a 44;2
3502606;2024;Homens;45 a 49;2
3502606;2024;Homens;50 a 54;3
3502606;2024;Homens;55 a 59;0
3502606;2024;Homens;60 a 64;1
3502606;2024;Homens;65 a 69;3
3502606;2024;Homens;70 a 74;1
3502606;2024;Homens;75 a 79;5
3502606;2024;Homens;80 a 84;3
3502606;2024;Homens;85 a 89;2
3502606;2024;Homens;90 e mais;0
3502606;2024;Homens;Idade Ignorada;0
3502705;2024;Homens;00 a 04;1
3502705;2024;Homens;05 a 09;0
3502705;2024;Homens;10 a 14;1
3502705;2024;Homens;15 a 19;0
3502705;2024;Homens;20 a 24;3
3502705;2024;Homens;25 a 29;2
3502705;2024;Homens;30 a 34;3
3502705;2024;Homens;35 a 39;7
3502705;2024;Homens;40 a 44;5
3502705;2024;Homens;45 a 49;10
3502705;2024;Homens;50 a 54;9
3502705;2024;Homens;55 a 59;12
3502705;2024;Homens;60 a 64;6
3502705;2024;Homens;65 a 69;10
3502705;2024;Homens;70 a 74;13
3502705;2024;Homens;75 a 79;8
3502705;2024;Homens;80 a 84;10
3502705;2024;Homens;85 a 89;13
3502705;2024;Homens;90 e mais;5
3502705;2024;Homens;Idade Ignorada;0
3502754;2024;Homens;00 a 04;4
3502754;2024;Homens;05 a 09;0
3502754;2024;Homens;10 a 14;0
3502754;2024;Homens;15 a 19;2
3502754;2024;Homens;20 a 24;2
3502754;2024;Homens;25 a 29;2
3502754;2024;Homens;30 a 34;1
3502754;2024;Homens;35 a 39;4
3502754;2024;Homens;40 a 44;7
3502754;2024;Homens;45 a 49;6
3502754;2024;Homens;50 a 54;5
3502754;2024;Homens;55 a 59;3
3502754;2024;Homens;60 a 64;6
3502754;2024;Homens;65 a 69;10
3502754;2024;Homens;70 a 74;10
3502754;2024;Homens;75 a 79;8
3502754;2024;Homens;80 a 84;12
3502754;2024;Homens;85 a 89;1
3502754;2024;Homens;90 e mais;1
3502754;2024;Homens;Idade Ignorada;0
3502804;2024;Homens;00 a 04;20
3502804;2024;Homens;05 a 09;3
3502804;2024;Homens;10 a 14;1
3502804;2024;Homens;15 a 19;5
3502804;2024;Homens;20 a 24;14
3502804;2024;Homens;25 a 29;24
3502804;2024;Homens;30 a 34;19
3502804;2024;Homens;35 a 39;27
3502804;2024;Homens;40 a 44;41
3502804;2024;Homens;45 a 49;25
3502804;2024;Homens;50 a 54;52
3502804;2024;Homens;55 a 59;83
3502804;2024;Homens;60 a 64;96
3502804;2024;Homens;65 a 69;110
3502804;2024;Homens;70 a 74;107
3502804;2024;Homens;75 a 79;125
3502804;2024;Homens;80 a 84;91
3502804;2024;Homens;85 a 89;97
3502804;2024;Homens;90 e mais;66
3502804;2024;Homens;Idade Ignorada;0
3502903;2024;Homens;00 a 04;2
3502903;2024;Homens;05 a 09;0
3502903;2024;Homens;10 a 14;0
3502903;2024;Homens;15 a 19;1
3502903;2024;Homens;20 a 24;3
3502903;2024;Homens;25 a 29;7
3502903;2024;Homens;30 a 34;1
3502903;2024;Homens;35 a 39;1
3502903;2024;Homens;40 a 44;5
3502903;2024;Homens;45 a 49;7
3502903;2024;Homens;50 a 54;13
3502903;2024;Homens;55 a 59;14
3502903;2024;Homens;60 a 64;10
3502903;2024;Homens;65 a 69;24
3502903;2024;Homens;70 a 74;26
3502903;2024;Homens;75 a 79;22
3502903;2024;Homens;80 a 84;15
3502903;2024;Homens;85 a 89;11
3502903;2024;Homens;90 e mais;16
3502903;2024;Homens;Idade Ignorada;0
3503000;2024;Homens;00 a 04;0
3503000;2024;Homens;05 a 09;0
3503000;2024;Homens;10 a 14;0
3503000;2024;Homens;15 a 19;0
3503000;2024;Homens;20 a 24;0
3503000;2024;Homens;25 a 29;1
3503000;2024;Homens;30 a 34;0
3503000;2024;Homens;35 a 39;0
3503000;2024;Homens;40 a 44;0
3503000;2024;Homens;45 a 49;0
3503000;2024;Homens;50 a 54;2
3503000;2024;Homens;55 a 59;0
3503000;2024;Homens;60 a 64;3
3503000;2024;Homens;65 a 69;7
3503000;2024;Homens;70 a 74;1
3503000;2024;Homens;75 a 79;3
3503000;2024;Homens;80 a 84;4
3503000;2024;Homens;85 a 89;4
3503000;2024;Homens;90 e mais;3
3503000;2024;Homens;Idade Ignorada;0
3503109;2024;Homens;00 a 04;1
3503109;2024;Homens;05 a 09;0
3503109;2024;Homens;10 a 14;0
3503109;2024;Homens;15 a 19;1
3503109;2024;Homens;20 a 24;0
3503109;2024;Homens;25 a 29;0
3503109;2024;Homens;30 a 34;0
3503109;2024;Homens;35 a 39;2
3503109;2024;Homens;40 a 44;2
3503109;2024;Homens;45 a 49;0
3503109;2024;Homens;50 a 54;1
3503109;2024;Homens;55 a 59;3
3503109;2024;Homens;60 a 64;3
3503109;2024;Homens;65 a 69;4
3503109;2024;Homens;70 a 74;2
3503109;2024;Homens;75 a 79;4
3503109;2024;Homens;80 a 84;1
3503109;2024;Homens;85 a 89;2
3503109;2024;Homens;90 e mais;3
3503109;2024;Homens;Idade Ignorada;0
3503208;2024;Homens;00 a 04;12
3503208;2024;Homens;05 a 09;1
3503208;2024;Homens;10 a 14;0
3503208;2024;Homens;15 a 19;2
3503208;2024;Homens;20 a 24;7
3503208;2024;Homens;25 a 29;8
3503208;2024;Homens;30 a 34;18
3503208;2024;Homens;35 a 39;19
3503208;2024;Homens;40 a 44;38
3503208;2024;Homens;45 a 49;35
3503208;2024;Homens;50 a 54;61
3503208;2024;Homens;55 a 59;66
3503208;2024;Homens;60 a 64;109
3503208;2024;Homens;65 a 69;137
3503208;2024;Homens;70 a 74;126
3503208;2024;Homens;75 a 79;137
3503208;2024;Homens;80 a 84;83
3503208;2024;Homens;85 a 89;115
3503208;2024;Homens;90 e mais;93
